name;level;domain
I know transport market player and  Decathlon international buying policy;FUNDAMENTAL;PURCHASE
I know the group strategies of industrial partnership and panel consolidation (SUPPLIER PANEL);FUNDAMENTAL;PURCHASE
I know the rules and monitor the legal documents and risk management with my suppliers (LTP);FUNDAMENTAL;PURCHASE
I know how to deal with my transport service provider (APT);FUNDAMENTAL;PURCHASE
I master the understanding and use of cost breakdown of each transport type;FUNDAMENTAL;PURCHASE
I prepare my Negotiation (IPN);FUNDAMENTAL;PURCHASE
I know tender process and how to prepare a tender;FUNDAMENTAL;PURCHASE
I lead negotiation (ILN);COMPLEMENTARY;PURCHASE
I know the operation terms of each transport type (E-learning);FUNDAMENTAL;SUPPLY
I know how to support SPL to open a new supplier (E-learning);FUNDAMENTAL;SUPPLY
I master the key process/operation of flow from A to Z (FWD OP discovery);FUNDAMENTAL;SUPPLY
I know how to reference my cost & LT in REFLOG/FMS;FUNDAMENTAL;SUPPLY
I know how to manage my transport order in CAPE/GTN;FUNDAMENTAL;SUPPLY
I know how to work on monthly closing and analyse my PnL;FUNDAMENTAL;SUPPLY
I understand my downstream working process;FUNDAMENTAL;SUPPLY
I know the up-stream constraints and needs approval (BASIC SUPPLY);FUNDAMENTAL;SUPPLY
I know trading type in China and VAT invoice (TAX);FUNDAMENTAL;SUPPLY
I know how to monitor my activities with BI system (AFO);FUNDAMENTAL;SUPPLY
I am competent in international transport flow (DLP);FUNDAMENTAL;SUPPLY
I master the basic rules of deliveries (GTD);FUNDAMENTAL;SUPPLY
I know the basic rules during customs declaration & potencial risk (CUS);FUNDAMENTAL;SUPPLY
I know how to construct my trajectory;COMPLEMENTARY;SUPPLY
I know how to optimise Customs process and Duty (Import);FUNDAMENTAL;SUPPLY
I know how to reference Customs info in CAT;FUNDAMENTAL;SUPPLY
Fundamental of Continuous Improvement (CIMF);FUNDAMENTAL;CI
I know how to evaluate a process based on audit methodology (QAD + CT audit grid);FUNDAMENTAL;CI
VSD;COMPLEMENTARY;CI
To promote problem solving methodology (DPS);ADVANCED;CI
I know how to build my competency (FOP);FUNDAMENTAL;MANAGEMENT
I master basic excel skills & customized skills (EXCEL);FUNDAMENTAL;MANAGEMENT
I master advanced excel skills (EXCEL2);FUNDAMENTAL;MANAGEMENT
I know how to identify the important and urgent tasks enabling to defines their priorities (GTPP);FUNDAMENTAL;MANAGEMENT
I develop my communication skills (COM1);FUNDAMENTAL;MANAGEMENT
I lead a training (AAF);COMPLEMENTARY;MANAGEMENT
Fundamental of project management (FCP);COMPLEMENTARY;MANAGEMENT
I know how to lead functional management (MF);COMPLEMENTARY;MANAGEMENT
I know how to give purpose to group meetings (AECO1);COMPLEMENTARY;MANAGEMENT
I master the basics of Recruitment (REC1);ADVANCED;MANAGEMENT
I know how to lead a facilitation seminar (FAC);ADVANCED;MANAGEMENT
I know myself and others better to communicate more efficiently (COMPER);ADVANCED;MANAGEMENT
I identify and welcome my talent;ADVANCED;MANAGEMENT
Fundamental of coaching;ADVANCED;MANAGEMENT
